gene,term
C20ORF19,EMTdown
SNX10,EMTdown
TP73L,EMTdown
KCNK1,EMTdown
BDKRB2,EMTdown
ANXA8,EMTdown
ANXA8L1,EMTdown
LOC728113,EMTdown
RHBDF2,EMTdown
LOC653562,EMTdown
SLC6A10P,EMTdown
SLC6A8,EMTdown
KRT18,EMTdown
CDS1,EMTdown
THBD,EMTdown
NEFM,EMTdown
RPS6KA1,EMTdown
SMPDL3B,EMTdown
ABCA12,EMTdown
RHOD,EMTdown
KRT14,EMTdown
PRKCH,EMTdown
ZBED2,EMTdown
C10ORF10,EMTdown
LRRC1,EMTdown
STAP2,EMTdown
JUP,EMTdown
IL4R,EMTdown
PERP,EMTdown
FGFBP1,EMTdown
MYO1D,EMTdown
FAT2,EMTdown
WWC1,EMTdown
FZD3,EMTdown
ZNF165,EMTdown
SNCA,EMTdown
KIAA1815,EMTdown
PRSS8,EMTdown
SH2D3A,EMTdown
GNAL,EMTdown
BIK,EMTdown
CDH3,EMTdown
KIAA0888,EMTdown
KRT5,EMTdown
GJB3,EMTdown
KIAA0040,EMTdown
CELSR2,EMTdown
F11R,EMTdown
NUP62CL,EMTdown
SERPINB1,EMTdown
SPINT2,EMTdown
POLR3G,EMTdown
ELMO3,EMTdown
IL1RN,EMTdown
TSPAN1,EMTdown
IFI30,EMTdown
PLS1,EMTdown
LOC729884,EMTdown
TMPRSS11E,EMTdown
C1ORF116,EMTdown
ALOX15B,EMTdown
COL17A1,EMTdown
RTEL1,EMTdown
TNFRSF6B,EMTdown
LAD1,EMTdown
PTPN3,EMTdown
MST1R,EMTdown
EPHA1,EMTdown
E2F5,EMTdown
KRT6B,EMTdown
STAC,EMTdown
ITGB4,EMTdown
C6ORF105,EMTdown
GLS2,EMTdown
ANXA3,EMTdown
DST,EMTdown
ARHGAP25,EMTdown
DSC2,EMTdown
SLC6A8,EMTdown
LSR,EMTdown
CLDN1,EMTdown
FLJ20366,EMTdown
CYP4F11,EMTdown
CCND2,EMTdown
FGFR2,EMTdown
ABLIM1,EMTdown
XDH,EMTdown
CAMK2B,EMTdown
DSG3,EMTdown
NAIP /// OCLN,EMTdown
KRT17,EMTdown
SAA1 /// SAA2,EMTdown
PRRG4,EMTdown
ANK3,EMTdown
C10ORF116,EMTdown
TMPRSS4,EMTdown
CST6,EMTdown
NDRG1,EMTdown
S100A8,EMTdown
CORO1A,EMTdown
KLK5,EMTdown
EXPH5,EMTdown
IRX4,EMTdown
IRF6,EMTdown
HOOK1,EMTdown
ARTN,EMTdown
FLJ12684,EMTdown
SLC2A9,EMTdown
KLK8,EMTdown
TMEM40,EMTdown
TRIM29,EMTdown
HBEGF,EMTdown
ALDH1A3,EMTdown
RBM35B,EMTdown
MYO5C,EMTdown
CYP27B1,EMTdown
IL1B,EMTdown
NMU,EMTdown
KRT16,EMTdown
CDH1,EMTdown
JAG2,EMTdown
VSNL1,EMTdown
RLN2,EMTdown
CTSL2,EMTdown
SYK,EMTdown
SAA1,EMTdown
EPB41L4B,EMTdown
RNF128,EMTdown
ST14,EMTdown
LEPREL1,EMTdown
PI3,EMTdown
AP1M2,EMTdown
CKMT1A,EMTdown
CKMT1B,EMTdown
GRHL2,EMTdown
ARHGAP8,EMTdown
LOC553158,EMTdown
IGFBP2,EMTdown
IL18,EMTdown
CA9,EMTdown
S100A14,EMTdown
CA2,EMTdown
KRT15,EMTdown
EVA1,EMTdown
TMEM30B,EMTdown
S100A7,EMTdown
KLK7,EMTdown
LGALS7,EMTdown
FST,EMTdown
CXADR,EMTdown
SLPI,EMTdown
RBM35A,EMTdown
RAB25,EMTdown
UCHL1,EMTdown
KLK10,EMTdown
TACSTD1,EMTdown
SERPINB2,EMTdown
SPRR1A,EMTdown
FGFR3,EMTdown
EPCAM,EMTdown
CDH6,EMTdown
MAP7,EMTdown
SPRR1B,EMTdown
FBLN5,EMTup
GREM1,EMTup
COL3A1,EMTup
COL1A2,EMTup
DCN,EMTup
CDH2,EMTup
ENPP2,EMTup
POSTN,EMTup
RGS4,EMTup
C5ORF13,EMTup
PRRX1,EMTup
FBN1,EMTup
SRGN,EMTup
SPOCK1,EMTup
PRR16,EMTup
DLC1,EMTup
BIN1,EMTup
RGL1,EMTup
IGFBP4,EMTup
PVRL3,EMTup
CDH11,EMTup
OLFML3,EMTup
MMP2,EMTup
MYL9,EMTup
COL5A2,EMTup
CTGF,EMTup
PLEKHC1,EMTup
ZEB1,EMTup
ROR1,EMTup
PTGER2,EMTup
CHN1,EMTup
PMP22,EMTup
TRAM2,EMTup
TAGLN,EMTup
TNFAIP6,EMTup
CREB3L1,EMTup
UGDH,EMTup
HAS2,EMTup
DNAJB4,EMTup
CDKN2C,EMTup
CCDC92,EMTup
WNT5A,EMTup
IGFBP3,EMTup
PPM1D,EMTup
FILIP1L,EMTup
PDGFC,EMTup
TBX3,EMTup
XYLT1,EMTup
FAP,EMTup
DPT,EMTup
STC1,EMTup
KRT81,EMTup
MMP1,EMTup
HS3ST2,EMTup
LMCD1,EMTup
N-PAC,EMTup
Sep-06,EMTup
NR2F1,EMTup
SCCPDH,EMTup
MLPH,EMTup
LTBP2,EMTup
TPM1,EMTup
ANKRD25,EMTup
DDR2,EMTup
SEMA5A,EMTup
TGFB1I1,EMTup
PCOLCE,EMTup
STARD13,EMTup
NID1,EMTup
SYNC1,EMTup
ENOX1,EMTup
FSTL1,EMTup
VIM,EMTup
MME,EMTup
C10ORF56,EMTup
LTBP1,EMTup
NRP1,EMTup
THY1,EMTup
NEBL,EMTup
TNS3,EMTup
ECM1,EMTup
FBLN1,EMTup
TUBA1A,EMTup
COPZ2,EMTup
CYBRD1,EMTup
PPAP2B,EMTup
PTX3,EMTup
FADS2,EMTup
BGN,EMTup
TSHZ1,EMTup
ZBTB38,EMTup
