"TF","Cl19_1_S4","Cl19_2_S5","Cl19_3_S6","Cl19_gHira_1_S10","Cl19_gHira_2_S11","Cl19_gHira_3_S12","Mean_ gHIRA","Mean_ Cl19","Mean_TFChange","p.val","p.adj"
"Ar",-2.43097061144389,2.63233798530555,1.80203771474775,-0.210123349062818,-1.15531976004069,-0.210777145226581,-0.525406751443363,0.667801696203136,-1.1932084476465,0.528265102620467,0.640624424228784
"Arntl",2.05770827621625,-0.840223212135594,-0.356826877164544,0.277479464066092,0.423082721929119,-0.780074220980363,-0.0265040116617172,0.28688606230537,-0.313390073967087,0.770789891645757,0.850526776988422
"Atf1",-0.320662180459836,0.631169872590993,0.863408942733151,-0.844536217175036,-0.169267944939745,-0.112085249280339,-0.37529647046504,0.391305544954769,-0.76660201541981,0.162322960724453,0.311660084590949
"Atf2",-0.353939496028056,2.01497253831754,1.69582733157295,-1.14895910743143,-1.46956375405552,-1.51097226229644,-1.37649837459446,1.11895345795415,-2.49545183254861,0.0749585910050298,0.224875773015089
"Atf4",0.466235865434288,-0.933494392729688,-0.576071695225718,-0.136070872598682,0.995807940348057,0.59111652229297,0.483617863347448,-0.347776740840373,0.831394604187821,0.198781133349129,0.323440488161295
"Atf6",-4.00426156689655,1.2407682460443,1.41598009772479,-0.445113781950171,1.84735517508531,0.379936886239387,0.594059426458174,-0.449171074375817,1.04323050083399,0.627279119813565,0.725527656651834
"Cdx2",-0.863963605529254,-0.799877551991444,-0.547144306970242,0.92472035961868,1.36899358538487,0.738461276491888,1.01072507383181,-0.736995154830313,1.74772022866212,0.00367196689183441,0.0644215992287516
"Cebpa",-0.859416861485707,0.719941765540248,2.73919171329043,-1.36000421597375,-1.23878770487999,0.601909892213184,-0.665627342880187,0.866572205781656,-1.53219954866184,0.29045215569287,0.41005010215464
"Cebpb",-0.0706616174761886,0.853353643038025,1.05496816968844,-0.789546309182944,-1.4530761590245,0.181161139098602,-0.687153776369614,0.612553398416759,-1.29970717478637,0.0976958438838001,0.237819216670938
"Creb1",-0.577943245782141,-0.433559814953145,0.833445357472015,0.280463677834644,-0.699552561291526,1.0547985394031,0.211903218648741,-0.0593525677544238,0.271255786403164,0.709534857655258,0.801357015704762
"Ctcf",-1.79193773410934,-1.20008774131398,-0.741009148103622,1.71159724890203,2.36014976788432,1.06975181941148,1.71383294539928,-1.24434487450898,2.95817781990826,0.00402634995179697,0.0644215992287516
"E2f1",-3.89960571190664,-0.108925700875091,-0.364192040740853,3.62712527243518,0.049783082842571,2.02985652848802,1.90225496125526,-1.45757448450753,3.35982944576279,0.105900925100884,0.246319657607515
"E2f2",-2.35364993177344,0.346968810979204,-0.732574119345082,2.79184270062958,1.51201775504266,-0.268012575720719,1.3452826266505,-0.913085080046438,2.25836770669694,0.130318450000381,0.273135075650876
"E2f3",-1.97565700931667,1.24499733063706,0.756624509971436,0.242129279699894,0.344834294341724,0.1520142730279,0.246325949023173,0.0086549437639439,0.237671005259229,0.83473479344804,0.880599342538592
"E2f4",-4.28778573581256,-2.19413139135655,-3.18312955570358,6.29553246649987,2.4387001484212,3.06837396031176,3.93420219174428,-3.22168222762423,7.15588441936851,0.0132345832899292,0.0943784898970639
"Egr1",-0.845496092946514,2.73554991453562,2.880777237212,-2.78450561142495,-1.46617829831218,-0.940603291080655,-1.73042906693926,1.59027701960037,-3.32070608653963,0.0956358338161768,0.237819216670938
"Elk1",0.528929662809833,1.0164199430766,0.763285564557349,-1.76830144736987,-0.775510663010391,0.67515034520852,-0.622887255057247,0.769545056814592,-1.39243231187184,0.184736504299336,0.316897635073144
"Epas1",1.1537197827577,0.768325187133672,0.758713509435804,-1.29035743081637,-0.684936227029641,-1.81205994504115,-1.26245120096239,0.893586159775727,-2.15603736073812,0.0126671104750834,0.0943784898970639
"Erg",-1.84779698802128,-0.197754023946932,-0.706056348625391,1.26878971135199,1.10334208537214,1.08913350595359,1.15375510089257,-0.917202453531199,2.07095755442377,0.0494873263346285,0.18272243569709
"Esr1",-1.82341346804674,1.1356116746227,2.41677192090868,-0.0571334466915939,-0.933875956442658,-0.15178218669873,-0.380930529944327,0.576323375828213,-0.957253905772541,0.528143879321781,0.640624424228784
"Esr2",-0.957811499535215,-0.234262634656818,-0.204312703013799,0.0173487277860092,1.35757754504101,0.247903304304691,0.540943192377238,-0.465462279068611,1.00640547144585,0.120490168683323,0.269001306827884
"Ets1",-1.90438575344388,2.06056891644586,1.43093359493121,-0.172377394395589,-0.489779521898372,-0.357429936757617,-0.339862284350526,0.529038919311065,-0.868901203661591,0.553487545312032,0.655985238888334
"Ets2",-0.474498221505091,-0.920412241344214,-0.0133204497232162,1.30950636987696,-0.0866286360819641,1.10346896817417,0.775448900656389,-0.46941030419084,1.24485920484723,0.0842841793595568,0.226617065455565
"Etv4",-0.577923960093796,0.836955012998648,1.64622041513269,-0.553711399275986,-0.096579195470234,-1.39683022136062,-0.682373605368946,0.635083822679182,-1.31745742804813,0.172090362726434,0.316897635073144
"Fli1",-0.204525890489388,0.243411336667378,-0.176982011986228,0.690773957384172,-0.546040085393739,-0.124568626962511,0.0067217483426406,-0.0460321886027459,0.0527539369453865,0.902322800987214,0.925192251088672
"Fos",0.0712073764592885,1.05290724778132,0.737912430731574,-0.922516837351661,-0.13332970882514,-0.391020770632319,-0.48228910560304,0.620675684990726,-1.10296479059377,0.0434903349736294,0.167002886298737
"Fosl1",-0.0166981517761607,-0.898943025879133,-0.897300571612131,1.18991891692011,0.95516766468009,-0.0124130940886723,0.710891162503843,-0.604313916422475,1.31520507892632,0.0518897429291596,0.184496863748123
"Foxa1",0.230982463270591,-0.929249856907041,0.59497127289065,-0.770286716694235,-0.277640846521196,0.687443802526593,-0.120161253562946,-0.0344320402485996,-0.0857292133143466,0.898057860734964,0.925192251088672
"Foxl2",0.0362737939871806,1.21678830333989,1.8552700115231,-1.74401931135467,-1.64703901959864,-1.17921366279829,-1.5234239979172,1.03611070295006,-2.55953470086726,0.0308028102358486,0.140190586984978
"Foxm1",0.023579031733548,-1.29639683949589,-1.94403585130178,2.38723819022656,-0.264739147733814,1.45127461887697,1.19125788712324,-1.07228455302137,2.26354244014461,0.0849813995458369,0.226617065455565
"Foxo1",0.0972731346615396,-0.406236764621515,-0.893172853902294,0.0711455991313833,-0.0203538107379621,0.850952725735618,0.30058150470968,-0.400712161287423,0.701293665997103,0.152711838158433,0.305423676316867
"Foxo3",-1.58578481250501,0.662820312524322,0.0303118674612726,-0.538113123027731,0.283473954246407,1.25271734375465,0.33269272499111,-0.297550877506473,0.630243602497583,0.500239543555284,0.632088379781551
"Foxo4",-0.336506401752936,0.262924577703744,1.23576428325836,0.074824009043368,-0.98507064289256,-0.408854125927152,-0.439700253258781,0.387394153069724,-0.827094406328506,0.217840927117216,0.342118503201367
"Gata1",0.178728646798498,-0.276304853920665,-0.189746557649161,1.34138946090135,0.120045573257892,-0.861811214642008,0.199874606505746,-0.0957742549237761,0.295648861429522,0.691364999297952,0.790131427769088
"Gata2",0.870556044256614,2.54790114237752,1.18041561091436,-2.50905089431254,-1.91921551787937,-1.53891824465074,-1.98906155228088,1.53295759918283,-3.52201915146371,0.00845469726663895,0.0943784898970639
"Gata3",-0.852362242719769,0.464048902729012,3.93722161536241,-2.60204581125972,-2.26247178142587,-0.287925603749598,-1.71748106547839,1.18296942512388,-2.90045049060228,0.168915454467004,0.316897635073144
"Gli2",-0.10111839246005,0.197175260478336,0.716369987803779,0.490063411577124,-1.0500938178034,-0.368318897352865,-0.309449767859713,0.270808951940689,-0.580258719800401,0.332780751728752,0.456385030942289
"Hif1a",-3.59420496473662,0.0924481902753497,0.400981758451868,0.0658882913065999,2.10584706349594,1.53648722994485,1.2360741949158,-1.03359167200313,2.26966586691893,0.212842928338009,0.340548685340814
"Hnf1a",-0.489452627972194,-0.28591886867966,0.951045158510707,-0.112945971611876,0.437818185697867,-0.177171564148889,0.049233549979034,0.0585578872862844,-0.00932433730725039,0.986139906085748,0.986139906085748
"Hnf4a",-0.517748421762917,1.04069399315738,2.13818529622433,-2.33637990758152,0.0473145067013009,-0.272447477306698,-0.853837626062306,0.887043622539596,-1.7408812486019,0.180157949211979,0.316897635073144
"Irf1",-2.14267080219158,1.45598611850866,1.313585988689,-0.163014860031139,-0.124670392669707,-0.0704330372133143,-0.11937276330472,0.208967101668694,-0.328339864973414,0.806423431349156,0.865765279733769
"Irf3",0.126552263347107,1.79776417687564,0.259436406705657,-2.17892696149976,0.265779506990948,-1.14007556963624,-1.01774100804835,0.727917615642802,-1.74565862369115,0.126092612853336,0.273135075650876
"Jun",0.066404829318396,1.89121486384761,2.57614428430859,-1.53252781164982,-1.56309672231496,-1.49738981345493,-1.53100478247324,1.5112546591582,-3.04225944163144,0.0555183847659679,0.190348747769033
"Jund",-0.173490899160733,2.00085456360685,0.28905371119933,-0.076674197977781,-0.186451622597542,-1.76757945966248,-0.676901760079267,0.705472458548484,-1.38237421862775,0.184856953792668,0.316897635073144
"Klf4",0.298542709736846,2.43388554755569,3.20029969910393,-2.23931231027897,-2.64086328637401,-1.77437957033432,-2.21818505566243,1.97757598546549,-4.19576104112792,0.0321270095173909,0.140190586984978
"Kmt2a",1.48334927155541,-0.364055212918972,-2.97756206731771,-0.44194868592711,0.81951736452227,0.163836175979637,0.180468284858266,-0.619422669560422,0.799890954418688,0.604866174527387,0.708136009202794
"Lef1",-0.870897884257973,1.63531549075889,-0.767564796561283,-0.0162115789628995,-0.256964356764892,-0.399310299045807,-0.224162078257866,-0.00104906335345597,-0.22311301490441,0.811654949750409,0.865765279733769
"Mitf",0.353566294450993,0.527391582787326,2.34317048865551,-0.773922410762336,-1.64623634532314,-0.527418785001881,-0.98252584702912,1.07470945529794,-2.05723530232706,0.0636189455448258,0.203580625743442
"Myb",-1.46005550483517,-0.205707474307768,0.365288937201821,0.402960127209992,0.385800584422831,1.37205318291044,0.720271298181086,-0.433491347313705,1.15376264549479,0.15627067998913,0.306162964876664
"Myc",-3.77483470933742,-0.504527818076647,-4.17227369800105,4.96161516673835,2.65745236016834,2.80424581418961,3.47443778036544,-2.81721207513837,6.29164985550381,0.0149626284124933,0.0957608218399573
"Mycn",-2.74045393744089,1.37073841152035,-0.0998112958959731,1.16298252271566,-0.132565762941395,0.618972890028029,0.549796549934098,-0.489842273938838,1.03963882387294,0.483627516488436,0.632088379781551
"Nfatc2",-0.480100835546672,-1.41077415332375,-1.78122614827361,1.45051480347097,1.4654847466642,1.31763998480242,1.41121317831253,-1.22403371238134,2.63524689069388,0.0196509448335913,0.0992889844223563
"Nfic",-0.853731171008364,-0.515026329919954,-0.672037410421417,0.792268569041836,0.934673797363126,0.932320277918028,0.886420881440997,-0.680264970449911,1.56668585189091,0.00089643087974154,0.0592206486629876
"Nfkb1",1.09432423620505,2.42316001514815,2.9072764043675,-3.4959536049121,-2.87944136204553,-2.02747970516332,-2.80095822404032,2.14158688524023,-4.94254510928055,0.00245778565843775,0.0592206486629876
"Nfkb2",-0.447377265695594,-0.901622234833803,-0.0358659913604527,0.132021639674967,-0.0807454810180551,0.519007065233206,0.190094407963372,-0.46162183062995,0.651716238593322,0.107764850203288,0.246319657607515
"Nr3c1",0.121590737355807,-1.1736204890812,-2.06345616217835,0.687630706384467,0.555145212565618,1.89770097698242,1.0468256319775,-1.03849530463458,2.08532093661208,0.0608030284585108,0.201278990759208
"Pax6",-0.580605349860897,0.280372568230623,1.9071476511161,-0.796096268296849,-1.01281020727201,-0.372004876609299,-0.726970450726052,0.535638289828608,-1.26260874055466,0.22095153331755,0.342118503201367
"Pax8",0.400406016934552,0.489944854307576,0.644845597827843,-0.926783267393896,-0.633915739975369,-0.202178339667006,-0.587625782345424,0.511732156356657,-1.09935793870208,0.0250339656927082,0.120163035324999
"Pgr",1.19675131469795,1.95058642997481,1.99660760695024,-1.93807520139889,-2.70765990398267,-1.35255793238824,-1.99943101258994,1.714648450541,-3.71407946313094,0.00246752702762448,0.0592206486629876
"Pou2f1",-0.469235431458028,0.77846582326759,0.782822750191722,-1.14958067926983,-0.585379954709526,0.605522989722501,-0.376479214752284,0.364017714000428,-0.740496928752712,0.330002589616806,0.456385030942289
"Ppara",0.94013052852239,1.47518030668367,1.58045445919193,-1.48912132472276,-0.460864509401853,-1.73066720186065,-1.22688434532842,1.33192176479933,-2.55880611012775,0.0101864297643249,0.0943784898970639
"Pparg",-0.568733223393722,-0.517163932533598,-0.124029226425664,0.841312505575836,0.334505361076957,0.0899109828950131,0.421909616515935,-0.403308794117661,0.825218410633596,0.0434731745543529,0.167002886298737
"Rara",0.428047812055243,1.18836117821896,2.0236798169535,-1.47511369463946,-1.10177303472348,-1.80006828637263,-1.45898500524519,1.21336293574257,-2.67234794098776,0.0163353286326246,0.0973643164816954
"Rel",0.924897014595764,2.47732712858307,2.19348275686608,-2.75245999348372,-2.7444949103318,-2.57497844896607,-2.6906444509272,1.86523563334831,-4.5558800842755,0.00996648842549793,0.0943784898970639
"Rela",1.17389504502169,2.58529525982724,2.42067151510202,-2.6575109669902,-2.85305241151853,-2.32409871923987,-2.61155403258287,2.05995393998365,-4.67150797256652,0.00473173714126693,0.0648923950802322
"Relb",0.55471598927324,1.0306603404467,1.60130261297196,-1.50352054730973,-1.45719105767654,-1.4656119621667,-1.47544118905099,1.06222631423063,-2.53766750328163,0.0137635297766552,0.0943784898970639
"Runx1",-0.576770348396573,-0.0997835133967083,1.32899416092385,-0.436952614824718,-0.106801948750323,-0.485346784074772,-0.343033782549938,0.21748009971019,-0.560513882260128,0.432000715377711,0.576000953836949
"Rxra",-0.388700126186449,0.215967657201569,-0.278058714097378,2.06130775555612,0.868913842560197,-0.568804562508924,0.78713901186913,-0.150263727694086,0.937402739563216,0.342475411490939,0.463065345114509
"Smad3",0.962146444630391,1.48905912932964,3.08519146118599,-2.58089694044667,-2.57918112692654,-2.26428421932927,-2.47478742890083,1.84546567838201,-4.32025310728284,0.018906113994484,0.0992889844223563
"Smad4",0.141127915085669,3.99885130252209,3.21014840003569,-3.52982772214642,-2.19905101033012,-2.73250381011758,-2.82046084753137,2.45004253921448,-5.27050338674586,0.0359015745550708,0.149850050316817
"Sox10",-1.37142068259059,0.500358939322185,-0.517839223779381,0.388021133522324,-0.218371273438388,1.13329988680219,0.434316582295375,-0.46296698901593,0.897283571311305,0.256484317710389,0.384726476565584
"Sox2",-0.333246839060618,-0.203665728956434,0.857202778358585,-0.012242593838512,-0.666627779894768,0.895247660260598,0.0721257621757727,0.106763403447178,-0.0346376412714053,0.956035139252624,0.966098667034231
"Sox9",0.0803259070604374,2.51927972945226,0.701333238650508,-0.317698653746903,-1.37189184378652,-1.97593103512403,-1.22184051088582,1.10031295838774,-2.32215346927355,0.0663085026436917,0.205342459799819
"Sp1",-2.0906783221381,3.9992584478058,2.17870961275452,-2.0436101211705,-0.438261548478775,-1.15660752757156,-1.21282639907361,1.36242991280741,-2.57525631188102,0.287558338470342,0.41005010215464
"Sp3",0.699581681273317,2.63797660071039,3.33349526418435,-4.09423737484401,-2.14587708794896,-1.0871077526283,-2.44240740514042,2.22368451538935,-4.66609192052977,0.0172415977103002,0.0973643164816954
"Spi1",-0.397557245486085,-0.249259684910273,2.04321652006207,-1.04095314449617,-0.608615815511158,0.857636564438545,-0.263977465189594,0.465466529888572,-0.729443995078166,0.500403300660395,0.632088379781551
"Srebf1",-3.07690033511645,0.134452112697072,0.089264150255198,0.203267977779253,2.62488072414226,1.53888996572044,1.45567955588065,-0.951061357388061,2.40674091326871,0.1426811928192,0.291433925758366
"Srebf2",-3.30127127117691,0.550257348427762,-0.446319554439209,0.609114933339888,2.39523203002828,0.622887567056255,1.20907817680814,-1.06577782572945,2.27485600253759,0.178261367462685,0.316897635073144
"Srf",-0.325870653378837,1.63035865834517,1.91540348259388,-0.892762559645684,-1.16516393633393,-0.811406905616273,-0.95644446719863,1.07329716252007,-2.0297416297187,0.0990913402795573,0.237819216670938
"Stat1",1.67723453593105,1.4142934294622,2.99905007636562,-2.1601113146399,-3.38681821338559,-2.72943189350667,-2.75878714051072,2.03019268058629,-4.78897982109701,0.00201878048413705,0.0592206486629876
"Stat2",0.948216661808805,0.441071586304291,-0.332246967421325,-1.02207810943589,-0.702718430664711,-0.58614092889194,-0.77031248966418,0.352347093563924,-1.1226595832281,0.0815018028211403,0.226617065455565
"Stat3",-0.607237674297105,2.09646397280712,2.19836625788716,-2.37518442146521,-0.864218280143865,-1.05306932861272,-1.43082401007393,1.22919751879906,-2.66002152887299,0.0823987575768192,0.226617065455565
"Stat5a",-1.0428561632488,1.28939619049446,1.05608358662273,-0.630852699496407,0.375863416087654,-0.148882338477587,-0.134623873962113,0.434207871289464,-0.568831745251577,0.53385368685732,0.640624424228784
"Stat5b",-0.961240931430851,1.73351931749081,1.81773732709214,-0.761498265212928,-0.362514579144205,-0.469533768837926,-0.531182204398353,0.863338571050699,-1.39452077544905,0.264994279614497,0.385446224893814
"Stat6",0.0668798380902271,1.59774044204872,0.563841434126077,-0.595860454912255,-0.112918789997198,-0.744753826292504,-0.484511023733986,0.742820571421675,-1.22733159515566,0.0967567631824745,0.237819216670938
"Tal1",-0.76006518972933,-1.31735428029754,1.70399213923522,0.749852754573256,-0.535518283725325,2.0928056511285,0.769046707325477,-0.124475776930549,0.893522484256026,0.499058803290993,0.632088379781551
"Tcf7l2",-1.29108375395829,0.709838767460371,1.33641472586047,0.182997833838229,-0.672097392512853,0.499831893313604,0.00357744487966006,0.251723246454185,-0.248145801574525,0.794705495723237,0.865765279733769
"Tfap2a",-0.911392225127926,1.28096106570116,3.47871773670468,-1.68550221387105,-1.45595496554736,-0.129141709297838,-1.09019962957208,1.28276219242597,-2.37296182199806,0.19361830412949,0.323440488161295
"Tfap2c",-0.652613961232269,0.669082713008721,0.352180143968474,-0.6656592395308,-0.274593694625762,1.05979777247523,0.039848279439555,0.122882965248309,-0.0830346858087538,0.905917412524324,0.925192251088672
"Trp53",0.780976173231028,2.90207330099684,1.54143627422692,-2.27693894363141,-1.72634266198709,-2.74916262719132,-2.25081474426994,1.74149524948493,-3.99230999375487,0.011537789463924,0.0943784898970639
"Twist1",0.0726706502257052,0.0271421891098576,-0.734905597777728,0.914295989617484,0.00691605489203974,0.558674763385831,0.493295602631785,-0.211697586147388,0.704993188779173,0.130877223749378,0.273135075650876
"Usf1",-0.978029709005064,0.453741344712841,-0.00610023863717362,0.518840057077321,0.678006532379043,0.361508040779636,0.519451543412,-0.176796200976466,0.696247744388466,0.237600824863014,0.36205839979126
"Usf2",-0.690556035349408,0.929063481601095,2.90647187624396,-1.11144865730689,-1.25273167268055,-0.290541902487081,-0.884907410824839,1.04832644083188,-1.93323385165672,0.197828604926039,0.323440488161295
"Vdr",-0.188640473243046,0.322335572834428,-0.457372359039666,1.11379896016789,-0.324942616670616,-0.525450033426684,0.0878021033568623,-0.107892419816095,0.195694523172957,0.753656226954205,0.84129067194888
"Wt1",-1.1782506727192,1.38276419384726,1.94036534942875,-0.492590490994759,-0.985033783314506,-0.803326286564866,-0.76031685362471,0.714959623518935,-1.47527647714365,0.262823189542708,0.385446224893814
"Yy1",-1.95691771092434,1.00864814694679,0.147841548091374,1.26340188638268,0.98640138513139,-0.787237776768781,0.487521831581764,-0.266809338628724,0.754331170210488,0.530374560085035,0.640624424228784
